competitionID,amount,teamNumber,submissionNumber,orgName,NetWorth
9949,30000,454,1653,Google AI,"$66,000,000,000 "
9951,20000,232,977,Google AI,"$66,000,000,000 "
9120,70000,7198,11174,Home Credit Group,"$282,000,000 "
9717,60000,4484,4072,Banco Santander,"$1,042,000,000 "
7878,25000,656,1094,CERN,"$843,000,000 "
9301,25000,312,1566,Google AI,"$66,000,000,000 "
8586,25000,1873,8223,Avito,"$73,600,000 "
8899,2500,141,921,CVPR 2018 WAD,
8219,2500,212,1302,,
8220,2500,428,2174,,
7456,2500,477,3584,Google,"$66,000,000,000 "
8396,2500,209,2436,Google,"$66,000,000,000 "
8540,25000,3951,6122,TalkingData,
8089,100000,3634,119,Booz Allen Hamilton,
8310,50000,934,98,Google Cloud,"$66,000,000,000 "
8311,50000,505,93,Google Cloud,"$66,000,000,000 "
8076,35000,4551,9882,Jigsaw,
7559,100000,2384,4717,Mercari,
7299,5000,883,2767,,
8078,25000,582,3142,IEEE Signal Processing Society,
7277,25000,2158,4553,Recruit Holdings,
7380,50000,3343,3232,Statoil,
7634,25000,1315,5375,Google Brain,"$66,000,000,000 "
7391,30000,1675,6436,Corporación Favorita,
8011,25000,428,968,Kaggle,
6649,1200000,3779,5951,Zillow,
7162,5000,1081,3382,KKBOX,
7163,5000,575,2150,,
6775,1500000,518,175,Department of Homeland Security,
7516,25000,1244,1530,Kaggle,
7115,35000,627,2157,Cdiscount,
7082,25000,5169,6713,Porto Seguro,
7042,25000,260,769,Google,"$66,000,000,000 "
7043,25000,162,442,Google,"$66,000,000,000 "
6768,25000,1095,98,Google,"$66,000,000,000 "
6841,15000,1386,589,,
6927,25000,735,2010,Carvana,
6960,30000,1257,1965,Kaggle,
6644,25000,2623,3396,Instacart,
6322,60000,938,5501,Planet,
6565,25000,3835,4149,Daimler,
6392,25000,3274,6403,Sberbank,
6116,25000,385,2901,NOAA,
6243,100000,848,304,Intel,
6277,25000,3307,7939,Quora,
6049,100000,655,2860,Google Cloud,"$66,000,000,000 "
5590,1,2488,5115,Two Sigma,
5568,150000,2293,320,The Nature Conservancy,
6004,1000000,1972,314,Booz Allen Hamilton,
5916,100000,419,2700,Defence Science & Technology Laboratory,
5874,100000,2070,4463,Two Sigma,
5497,25000,979,1500,Outbrain,
5558,60000,1787,5493,Banco Santander,
5325,1,3055,6243,Allstate Insurance,
5390,20000,478,3875,,
5357,30000,1373,6001,Bosch,
5261,50000,2271,3899,,
5340,25000,1689,3948,TalkingData,
5260,25000,1969,2974,,
5144,100000,923,3843,,
5048,65000,1440,5744,,
5174,20000,548,4052,Avito,
5229,75000,401,1356,,
5056,25000,1974,2955,,
4986,60000,5123,7914,Banco Santander,
4853,40000,2125,7259,,
4852,30000,2926,4905,,
4862,25000,598,93,,
4729,200000,773,204,Booz Allen Hamilton,
