competitionID,amount,teamNumber,submissionNumber,orgName,numKernels,NetIncome
9949,30000,454,1653,Google AI,19,"$66,000,000,000 "
9951,20000,232,977,Google AI,4,"$66,000,000,000 "
9120,70000,7198,11174,Home Credit Group,534,"$282,000,000 "
9717,60000,4484,4072,Banco Santander,286,"$1,042,000,000 "
7878,25000,656,1094,CERN,94,"$843,000,000 "
9301,25000,312,1566,Google AI,17,"$66,000,000,000 "
8586,25000,1873,8223,Avito,253,"$73,600,000 "
8899,2500,141,921,CVPR 2018 WAD,21,$0 
8219,2500,212,1302,,25,
8220,2500,428,2174,,20,
7456,2500,477,3584,Google,46,"$66,000,000,000 "
8396,2500,209,2436,Google,18,"$66,000,000,000 "
8540,25000,3951,6122,TalkingData,434,"$6,200,000 "
8089,100000,3634,119,Booz Allen Hamilton,161,"$6,170,000,000 "
8310,50000,934,98,Google Cloud,89,"$66,000,000,000 "
8311,50000,505,93,Google Cloud,48,"$66,000,000,000 "
8076,35000,4551,9882,Jigsaw,490,
7559,100000,2384,4717,Mercari,522,
7299,5000,883,2767,,67,
8078,25000,582,3142,IEEE Signal Processing Society,24,
7277,25000,2158,4553,Recruit Holdings,196,1160000000
7380,50000,3343,3232,Statoil,185,4600000000
7634,25000,1315,5375,Google Brain,60,"$66,000,000,000 "
7391,30000,1675,6436,Corporación Favorita,211,14838300
8011,25000,428,968,Kaggle,55,
6649,1200000,3779,5951,Zillow,809,94420000
7162,5000,1081,3382,KKBOX,75,
7163,5000,575,2150,,95,
6775,1500000,518,175,Department of Homeland Security,41,
7516,25000,1244,1530,Kaggle,213,
7115,35000,627,2157,Cdiscount,99,
7082,25000,5169,6713,Porto Seguro,446,331900000
7042,25000,260,769,Google,71,"$66,000,000,000 "
7043,25000,162,442,Google,15,"$66,000,000,000 "
6768,25000,1095,98,Google,151,"$66,000,000,000 "
6841,15000,1386,589,,116,
6927,25000,735,2010,Carvana,78,"$56,520,000 "
6960,30000,1257,1965,Kaggle,344,
